Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",number,name,zip,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
1,892,1023,2,R4,106,4,150,EAST 37 STREET,10016,NO,Regular,2016-A
1,917,26,4,G7,106,4,663,2 AVENUE,10016,NO,Subsequent,2016-A
1,928,15,4,N9,106,2,327,EAST 22 STREET,10010,NO,Regular,2016-A
1,928,1282,2,R4,106,2,340,EAST 23 STREET,10010,NO,Regular,2016-A
1,936,1103,2,R4,106,2,333,EAST 30 STREET,10016,NO,Regular,2016-A
1,939,1002,4,RB,106,2,303,EAST 33 STREET,10016,NO,Regular,2016-A
1,939,1008,2,R4,106,2,303,EAST 33 STREET,10016,NO,Regular,2016-A
1,943,1386,2,R4,106,4,330,EAST 38 STREET,10016,NO,Subsequent,2016-A
1,944,1012,2,R4,106,4,311,EAST 38 STREET,10016,NO,Regular,2016-A
1,944,1112,2,R4,106,4,311,EAST 38 STREET,10016,NO,Regular,2016-A
1,1006,1114,2,R4,105,4,159,WEST 53 STREET,10019,NO,Regular,2016-A
1,1011,4024,4,RS,105,4,106,CENTRAL PARK SOUTH,10019,NO,Regular,1998-2
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
1,1043,149,4,M3,104,3,338,WEST 53 STREET,10019,NO,Subsequent,1998-2
1,1047,2568,2,R4,104,3,322,WEST 57 STREET,10019,NO,Regular,2016-A
1,1058,11,2,C4,104,3,439,WEST 48 STREET,10036,NO,Regular,2016-A
1,1074,47,4,K1,104,3,532,WEST 46 STREET,10036,NO,Regular,2016-A
1,1078,8,2,C1,104,3,541,WEST 49 STREET,10019,NO,Regular,2016-A
1,1090,1158,2,R4,104,3,635,WEST 42 STREET,10036,NO,Regular,2016-A
1,1090,1279,2,R4,104,3,635,WEST 42 STREET,10036,NO,Regular,2016-A
1,1095,39,4,P9,104,3,608,WEST 48 STREET,10036,NO,Subsequent,2016-A
1,1114,1151,2,R4,107,3,62,WEST 62 STREET,10023,NO,Regular,2016-A
1,1120,1081,2,R4,107,6,45,WEST 67 STREET,10023,NO,Subsequent,2016-A
1,1125,1240,2,R4,107,6,27,WEST 72 STREET,10023,NO,Regular,2016-A
1,1131,1054,2,R4,107,3,2,COLUMBUS AVENUE,10019,NO,Regular,2016-A
1,1141,28,2,C5,107,6,111,WEST 69 STREET,10023,NO,Subsequent,2016-A
1,1163,1228,4,RS,107,6,235,WEST 71 STREET,10023,NO,Regular,1998-2
1,1171,1432,2,R4,107,,220,RIVERSIDE BOULEVARD,10069,NO,Regular,2016-A
1,1171,2011,4,RS,107,,220,RIVERSIDE BOULEVARD,10069,NO,Regular,1998-2
1,1171,3070,2,R4,107,,120,RIVERSIDE BOULEVARD,10069,NO,Regular,2016-A
1,1171,3337,4,RS,107,,120,RIVERSIDE BOULEVARD,10069,NO,Regular,1998-2
1,1171,4173,2,R4,107,,80,RIVERSIDE BOULEVARD,10069,NO,Regular,2016-A
1,1209,46,2,C4,107,6,34,WEST 96 STREET,10025,NO,Regular,2016-A
1,1216,1151,2,R4,107,6,110,WEST 86 STREET,10024,NO,Subsequent,2016-A
1,1231,1029,2,R4,107,6,225,WEST 83 STREET,10024,NO,Regular,2016-A
1,1237,1011,2,R4,107,6,251,WEST 89 STREET,10024,NO,Regular,2016-A
1,1262,1603,4,RB,105,4,62,WEST 47 STREET,10036,NO,Subsequent,2016-A
1,1262,1610,4,RB,105,4,62,WEST 47 STREET,10036,NO,Subsequent,2016-A
1,1262,1773,4,RB,105,,50,WEST 47 STREET,10036,NO,Regular,2016-A
1,1263,1088,2,R4,105,4,18,WEST 48 STREET,10036,NO,Regular,2016-A
1,1263,1100,2,R4,105,4,18,WEST 48 STREET,10036,NO,Regular,2016-A
1,1271,507,2,R4,105,4,77,WEST 55 STREET,10019,NO,Regular,2016-A
1,1287,1111,2,R4,105,4,641,5 AVENUE,10022,NO,Regular,2016-A
1,1290,1240,4,RH,105,4,2,EAST 55 STREET,10022,NO,Regular,2016-A
1,1292,1155,2,R4,105,4,721,5 AVENUE,10022,NO,Regular,2016-A
1,1319,1007,2,R4,106,4,240,EAST 46 STREET,10017,NO,Regular,2016-A
1,1320,1207,2,R4,106,4,240,EAST 47 STREET,10017,NO,Subsequent,2016-A
1,1320,1208,2,R4,106,4,240,EAST 47 STREET,10017,NO,Subsequent,2016-A
1,1320,1225,2,R4,106,4,240,EAST 47 STREET,10017,NO,Regular,2016-A
1,1320,1226,2,R4,106,4,240,EAST 47 STREET,10017,NO,Regular,2016-A
1,1320,4163,2,R4,106,4,211,EAST 46 STREET,10017,NO,Regular,2016-A
1,1322,1360,2,R4,106,4,250,EAST 49 STREET,10017,NO,Regular,2016-A
1,1323,1139,2,R4,106,4,255,EAST 49 STREET,10017,NO,Regular,2016-A
1,1326,1098,2,R4,106,4,250,EAST 53 STREET,10022,NO,Regular,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
1,1340,1402,4,RS,106,4,845,UNITED NATIONS PLAZA,10017,NO,Regular,1998-2
1,1345,1077,2,R4,106,4,310,EAST 53 STREET,10022,NO,Regular,2016-A
1,1365,1303,4,RK,106,4,400,EAST 54 STREET,10022,NO,Regular,2016-A
1,1378,6,2,D9,108,4,3,EAST 63 STREET,10065,YES,Regular,2016-A
1,1379,1105,4,RS,108,4,610,PARK AVENUE,10065,NO,Regular,1998-2
1,1379,1163,2,R4,108,4,610,PARK AVENUE,10065,NO,Regular,2016-A
1,1389,44,2,C5,108,4,40,EAST 75 STREET,10021,YES,Regular,2016-A
1,1423,1052,4,RS,108,4,200,EAST 69 STREET,10021,NO,Regular,1998-2
1,1433,21,4,O7,108,4,261,EAST 78 STREET,10075,NO,Regular,2016-A
1,1433,1004,4,RB,108,4,205,EAST 78 STREET,10075,NO,Regular,2016-A
1,1433,1005,4,RB,108,4,205,EAST 78 STREET,10075,NO,Regular,2016-A
1,1515,1143,4,RS,108,4,120,EAST 87 STREET,10128,NO,Regular,1998-2
1,1515,1144,4,RS,108,4,120,EAST 87 STREET,10128,NO,Regular,1998-2
1,1515,1145,4,RS,108,4,120,EAST 87 STREET,10128,NO,Regular,1998-2
1,1515,1206,4,RS,108,4,120,EAST 87 STREET,10128,NO,Regular,1998-2
1,1515,1207,4,RS,108,4,120,EAST 87 STREET,10128,NO,Regular,1998-2
1,1515,1208,4,RS,108,4,120,EAST 87 STREET,10128,NO,Regular,1998-2
1,1544,51,2,C7,108,5,1572,2 AVENUE,10028,YES,Regular,2016-A
1,1544,1085,2,R4,108,5,350,EAST 82 STREET,10028,NO,Regular,2016-A
1,1555,1155,2,R4,108,5,300,EAST 93 STREET,10128,NO,Regular,2016-A
1,1621,168,4,K2,111,9,4,EAST 116 STREET,10029,NO,Subsequent,2016-A
1,1628,70,1,C0,111,8,106,EAST 101 STREET,10029,NO,Regular,2016-A
1,1634,16,2,C5,111,8,1694,LEXINGTON AVENUE,10029,YES,Subsequent,2016-A
1,1660,22,4,K1,111,8,2143,2 AVENUE,10029,NO,Regular,2016-A
1,1676,1402,2,R4,111,8,2019,1 AVENUE,10029,NO,Regular,2016-A
1,1681,26,2,C4,111,8,2127,1 AVENUE,10029,NO,Regular,2016-A
1,1687,40,2,S3,111,8,324,EAST 116 STREET,10029,NO,Subsequent,2016-A
1,1687,41,2,S3,111,8,322,EAST 116 STREET,10029,NO,Subsequent,2016-A
1,1710,17,1,C0,111,8,437,EAST 116 STREET,10029,YES,Subsequent,2016-A
1,1724,49,4,M1,110,9,26,WEST 127 STREET,10027,YES,Subsequent,1998-2
1,1725,60,2,C5,110,9,52,WEST 128 STREET,10027,NO,Subsequent,2016-A
1,1729,141,4,G7,110,9,4,WEST 132 STREET,10037,NO,Regular,2016-A
1,1751,126,4,P5,111,9,45,EAST 126 STREET,10035,NO,Regular,1998-2
1,1770,27,4,K2,111,8,155,EAST 121 STREET,10035,NO,Regular,2016-A
1,1784,9,4,V1,111,8,217,EAST 119 STREET,10035,NO,Regular,2016-A
1,1822,35,2,S4,110,9,55,LENOX AVENUE,10026,NO,Regular,2016-A
1,1825,20,2,C4,110,9,123,WEST 115 STREET,10026,YES,Subsequent,2016-A
1,1833,3398,2,R4,107,7,392,CENTRAL PARK WEST,10025,NO,Regular,2016-A
1,1840,1040,2,R2,107,7,100,MANHATTAN AVENUE,10025,NO,Regular,2016-A
1,1847,65,2,D3,110,9,310,WEST 114 STREET,10026,NO,Subsequent,2016-A
1,1870,1037,2,R4,107,6,243,WEST 98 STREET,10025,NO,Regular,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
1,1903,121,2,C5,110,9,117,WEST 118 STREET,10026,NO,Subsequent,2016-A
1,1905,18,2,C5,110,9,125,WEST 120 STREET,10027,NO,Subsequent,2016-A
1,1905,158,2,C1,110,9,160,WEST 121 STREET,10027,NO,Subsequent,2016-A
1,1907,27,2,C5,110,9,107,WEST 122 STREET,10027,NO,Regular,2016-A
1,1915,20,1,C0,110,9,123,WEST 130 STREET,10027,NO,Subsequent,2016-A
1,1916,10,1,C0,110,9,153,WEST 131 STREET,10027,NO,Subsequent,1998-2
1,1916,55,2,C3,110,9,158,WEST 132 STREET,10027,NO,Subsequent,2016-A
1,1916,56,2,C3,110,9,162,WEST 132 STREET,10027,NO,Subsequent,2016-A
1,1917,126,4,O7,110,9,109,WEST 132 STREET,10027,NO,Subsequent,2016-A
1,1920,52,2,C5,110,9,148,WEST 136 STREET,10030,NO,Subsequent,2016-A
1,1920,63,2,S9,110,9,2313,ADAM C POWELL BLVD,10030,NO,Subsequent,2016-A
1,1926,58,4,Q1,110,9,262,WEST 121 STREET,10027,NO,Regular,2016-A
1,1937,10,4,M1,110,9,255,WEST 131 STREET,10027,NO,Subsequent,1998-2
1,1937,12,2,C5,110,9,249,WEST 131 STREET,10027,NO,Subsequent,2016-A
1,1937,48,2,C5,110,9,240,WEST 132 STREET,10027,NO,Subsequent,2016-A
1,1940,26,1,S2,110,9,211,WEST 134 STREET,10030,NO,Regular,2016-A
1,1940,56,4,M1,110,9,264,WEST 135 STREET,10030,NO,Subsequent,1998-2
1,1946,1038,2,R4,110,9,313,WEST 119 STREET,10026,NO,Regular,2016-A
1,1947,145,4,V1,110,9,502,MANHATTAN AVENUE,10027,NO,Subsequent,2016-A
1,1950,1001,4,RK,110,9,258,ST NICHOLAS AVENUE,10027,NO,Subsequent,2016-A
1,1954,31,4,V1,110,9,2371,8 AVENUE,10027,NO,Subsequent,1998-2
1,1959,53,4,M1,110,9,316,WEST 135 STREET,10030,NO,Subsequent,1998-2
1,1967,8,4,Z9,109,7,431,WEST 126 STREET,10027,NO,Regular,1998-2
1,1988,147,4,K1,109,7,1,HAMILTON PLACE,10031,NO,Regular,2016-A
1,2007,14,4,Q9,110,9,127,WEST 138 STREET,10030,NO,Subsequent,1998-2
1,2007,18,4,G7,110,9,119,WEST 138 STREET,10030,NO,Subsequent,2016-A
1,2011,23,2,C1,110,9,125,WEST 142 STREET,10030,YES,Regular,2016-A
1,2012,38,4,M1,110,9,102,WEST 144 STREET,10030,NO,Subsequent,1998-2
1,2013,1,4,K7,110,9,2481,ADAM C POWELL BLVD,10030,NO,Regular,2016-A
1,2025,20,2,C2,110,9,221,WEST 139 STREET,10030,NO,Subsequent,2016-A
1,2038,61,2,C7,110,9,2866,FREDRICK DOUGLASS BL,10039,NO,Subsequent,2016-A
1,2041,1215,2,R4,110,9,2601,FREDRICK DOUGLASS BL,10030,NO,Regular,2016-A
1,2047,34,1,S2,110,9,2921,FREDRICK DOUGLASS BL,10039,YES,Subsequent,2016-A
1,2050,24,4,I5,109,7,321,CONVENT AVENUE,10031,NO,Regular,2016-A
1,2050,66,1,C0,109,7,58,HAMILTON TERRACE,10031,YES,Regular,2016-A
1,2057,36,2,C5,109,9,459,WEST 140 STREET,10031,NO,Subsequent,2016-A
1,2057,135,2,C3,109,9,461,WEST 140 STREET,10031,NO,Regular,2016-A
1,2058,10,2,C2,109,7,453,WEST 141 STREET,10031,NO,Regular,2016-A
1,2059,17,2,C5,109,7,334,CONVENT AVENUE,10031,NO,Subsequent,2016-A
1,2059,57,2,C5,109,7,468,WEST 145 STREET,10031,NO,Subsequent,2016-A
1,2060,38,1,A9,109,9,404,WEST 146 STREET,10031,NO,Subsequent,1998-2
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
1,2065,19,4,G7,109,9,461,CONVENT AVENUE,10031,NO,Regular,2016-A
1,2068,43,4,K2,109,7,1893,AMSTERDAM AVENUE,10032,NO,Regular,2016-A
1,2079,51,2,C2,109,7,544,WEST 148 STREET,10031,NO,Regular,2016-A
1,2082,27,2,C5,109,7,501,WEST 150 STREET,10031,NO,Regular,2016-A
1,2082,127,4,V1,109,7,499,WEST 150 STREET,10031,NO,Regular,2016-A
1,2084,48,4,M1,109,7,526,WEST 153 STREET,10031,NO,Subsequent,1998-2
1,2115,31,1,B1,112,7,506,WEST 157 STREET,10032,YES,Subsequent,2016-A
1,2123,104,1,B1,112,10,509,WEST 167 STREET,10032,YES,Regular,2016-A
1,2130,152,2,C1,112,10,511,WEST 173 STREET,10032,NO,Regular,2016-A
1,2134,152,2,C2,112,7,640,WEST 158 STREET,10032,NO,Subsequent,2016-A
1,2136,1021,2,R4,112,7,812,RIVERSIDE DRIVE,10032,NO,Regular,2016-A
1,2154,142,2,C5,112,10,576,WEST 183 STREET,10033,NO,Subsequent,2016-A
1,2157,28,2,C1,112,10,555,WEST 184 STREET,10033,NO,Subsequent,2016-A
1,2158,47,2,C1,112,10,470,AUDUBON AVENUE,10040,NO,Subsequent,2016-A
1,2164,1075,2,R4,112,10,160,WADSWORTH AVENUE,10033,NO,Subsequent,2016-A
1,2180,62,4,V1,112,10,35,OVERLOOK TERRACE,10033,NO,Regular,2016-A
1,2180,63,4,V1,112,10,524,FT WASHINGTON AVENUE,10033,NO,Regular,2016-A
1,2199,11,4,G2,112,10,499,WEST 202 STREET,10034,NO,Subsequent,2016-A
1,2215,554,4,V1,208,10,56,MARBLE HILL AVENUE,10463,NO,Subsequent,2016-A
1,2226,14,2,C4,112,10,123,VERMILYEA AVENUE,10034,NO,Regular,2016-A
2,2268,11,2,S9,201,8,354,BROOK AVENUE,10454,NO,Subsequent,2016-A
2,2278,31,4,E9,201,8,446,EAST 134 STREET,10454,NO,Regular,2016-A
2,2280,24,1,B9,201,8,432,EAST 136 STREET,10454,NO,Regular,2016-A
2,2282,14,2,C7,201,8,420,EAST 138 STREET,10454,NO,Subsequent,1998-2
2,2284,1,4,G7,201,8,401,EAST 139 STREET,10454,NO,Subsequent,2016-A
2,2285,75,4,M9,201,8,427,EAST 140 STREET,10454,NO,Subsequent,1998-2
2,2287,7,2,S9,201,8,370,WILLIS AVENUE,10454,NO,Subsequent,2016-A
2,2287,83,2,C4,201,8,419,EAST 142 STREET,10454,NO,Regular,2016-A
2,2288,32,2,D7,201,8,450,EAST 144 STREET,10454,NO,Subsequent,2016-A
2,2288,70,1,V0,201,8,463,EAST 143 STREET,10454,NO,Subsequent,2016-A
2,2303,1,1,A5,201,8,302,ALEXANDER AVENUE,10454,NO,Regular,2016-A
2,2307,28,1,A9,201,8,369,EAST 145 STREET,10454,NO,Subsequent,2016-A
2,2320,77,4,K4,201,8,2535,3 AVENUE,10451,NO,Subsequent,2016-A
2,2331,68,4,O7,201,17,293,EAST 149 STREET,10451,YES,Regular,2016-A
2,2347,16,1,C0,204,8,148,EAST 150 STREET,10451,NO,Subsequent,2016-A
2,2349,4,4,V1,201,,255B,EXTERIOR STREET,10451,NO,Subsequent,2016-A
2,2370,9,4,G1,203,16,1060,WASHINGTON AVENUE,10456,NO,Subsequent,2016-A
2,2370,16,4,V1,203,16,1074,WASHINGTON AVENUE,10456,NO,Regular,2016-A
2,2371,41,4,V1,203,16,3423,3 AVENUE,10456,NO,Subsequent,2016-A
2,2374,80,1,V0,201,17,418,EAST 153 STREET,10455,NO,Subsequent,2016-A
2,2374,104,2,S5,201,17,405,EAST 152 STREET,10455,NO,Subsequent,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
2,2384,56,1,C0,203,17,415,EAST 162 STREET,10451,NO,Subsequent,2016-A
2,2400,3,1,S1,201,17,672,COURTLANDT AVENUE,10451,YES,Subsequent,2016-A
2,2410,39,1,C0,201,17,338,EAST 151 STREET,10451,YES,Regular,2016-A
2,2410,43,4,V1,201,17,599,COURTLANDT AVENUE,10451,NO,Subsequent,2016-A
2,2410,72,4,G7,201,17,295,EAST 150 STREET,10451,NO,Regular,2016-A
2,2423,80,1,B1,204,17,965,TELLER AVENUE,10456,YES,Regular,2016-A
2,2428,33,2,C3,204,16,1047,CLAY AVENUE,10456,NO,Regular,2016-A
2,2432,10,4,K4,204,16,1000,MORRIS AVENUE,10456,NO,Regular,1998-2
2,2432,54,1,C0,204,16,982,FINDLAY AVENUE,10456,NO,Subsequent,2016-A
2,2433,11,1,C0,204,16,1042,COLLEGE AVENUE,10456,NO,Regular,2016-A
2,2449,14,2,C2,204,16,1140,GRANT AVENUE,10456,NO,Subsequent,2016-A
2,2455,49,1,V0,204,16,205,EAST 163 STREET,10451,NO,Regular,1998-2
2,2459,34,2,D7,204,16,888,GRAND CONCOURSE,10451,NO,Regular,2016-A
2,2516,142,1,C0,204,16,1203,NELSON AVENUE,10452,NO,Subsequent,2016-A
2,2517,21,4,W9,204,16,1278,NELSON AVENUE,10452,NO,Subsequent,1998-2
2,2526,47,4,G7,204,16,1068,UNIVERSITY AVENUE,10452,NO,Regular,2016-A
2,2536,29,4,M1,204,16,1415,OGDEN AVENUE,10452,NO,Subsequent,2016-A
2,2556,54,4,G9,201,8,573,EAST 141 STREET,10454,NO,Regular,2016-A
2,2575,34,4,O7,201,8,781,EAST 142 STREET,10454,YES,Regular,2016-A
2,2578,18,4,V1,201,8,431,CONCORD AVENUE,10455,NO,Regular,2016-A
2,2579,42,2,C1,201,8,733,EAST 147 STREET,10455,YES,Regular,2016-A
2,2580,142,1,C0,201,8,753,EAST 147 STREET,10455,YES,Regular,2016-A
2,2587,21,4,F4,201,17,815,EAST 135 STREET,10454,NO,Regular,2016-A
2,2587,72,4,F9,201,17,795,EAST 135 STREET,10454,NO,Regular,2016-A
2,2608,10,1,S2,203,16,3396,3 AVENUE,10456,YES,Subsequent,2016-A
2,2620,33,2,C1,203,17,919,EAGLE AVENUE,10456,YES,Regular,2016-A
2,2623,19,2,C4,201,17,594,EAGLE AVENUE,10455,YES,Regular,2016-A
2,2623,196,4,K2,201,8,654,WESTCHESTER AVENUE,10455,YES,Subsequent,2016-A
2,2627,2,1,V0,203,17,892,EAGLE AVENUE,10456,NO,Subsequent,2016-A
2,2627,52,1,B1,203,17,881,CAULDWELL AVENUE,10456,NO,Regular,2016-A
2,2647,45,4,K1,201,17,724,EAST 161 STREET,10456,NO,Subsequent,2016-A
2,2647,47,4,K1,201,17,871,FOREST AVENUE,10456,NO,Subsequent,2016-A
2,2651,9,1,C0,203,16,1116,JACKSON AVENUE,10456,YES,Regular,2016-A
2,2651,30,1,C0,203,16,1139,FOREST AVENUE,10456,NO,Subsequent,2016-A
2,2651,34,1,C0,203,16,1131,FOREST AVENUE,10456,YES,Regular,2016-A
2,2651,1002,2,R2,203,16,1109,FOREST AVENUE,10456,NO,Regular,2016-A
2,2651,1007,2,R2,203,16,1111,FOREST AVENUE,10456,NO,Subsequent,2016-A
2,2655,1,4,V1,201,17,765,WESTCHESTER AVENUE,10455,NO,Subsequent,2016-A
2,2663,38,1,C0,203,17,1243,TINTON AVENUE,10456,NO,Regular,2016-A
2,2668,24,4,M1,203,17,786,EAST 163 STREET,10456,NO,Subsequent,1998-2
2,2682,10,1,C0,203,17,1228,UNION AVENUE,10459,NO,Subsequent,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
2,2690,123,4,H6,202,17,980,PROSPECT AVENUE,10459,NO,Subsequent,2016-A
2,2691,11,4,M1,202,17,1036,PROSPECT AVENUE,10459,NO,Subsequent,1998-2
2,2691,77,4,G2,202,17,1106,REV JAMES POLITE AVE,10459,NO,Subsequent,2016-A
2,2692,1,4,G1,202,17,1144,REV JAMES POLITE AVE,10459,NO,Subsequent,2016-A
2,2692,34,1,B2,202,17,870,HOME STREET,10459,YES,Subsequent,2016-A
2,2692,42,4,V1,202,17,886,HOME STREET,10459,NO,Subsequent,2016-A
2,2693,46,4,N2,202,17,1181,REV JAMES POLITE AVE,10459,NO,Regular,1998-2
